benchmark,sample_id,actual_label,predicted_label,prediction_probability,p_hs,p_nhs,prediction_correct,case_type,target_class,target_layer,original_path,heatmap_path,overlay_path,comparison_path,total_activation,mean_activation,peak_activation,top10_threshold,top10_activation_fraction,centroid_x,centroid_y,spatial_spread,activated_area_fraction_gt05
iccad4,HSCAD499,HS,HS,0.9941,0.9941,0.0059,True,TP,HS,conv2d_5,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD499_original.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD499_heatmap.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD499_overlay.png,results/gradcam/iccad4/iccad4_TP_HS_predHS_sampleHSCAD499_comparison.png,315.2942,0.0063,1.0,0.0,1.0,127.03,82.23,88.92,0.0029
iccad4,NHSCAD41020,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD41020_original.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD41020_heatmap.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD41020_overlay.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD41020_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,NHSCAD410_7,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD410_7_original.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD410_7_heatmap.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD410_7_overlay.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD410_7_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,NNHSCAD4999_9,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNNHSCAD4999_9_original.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNNHSCAD4999_9_heatmap.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNNHSCAD4999_9_overlay.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNNHSCAD4999_9_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,NHSCAD4102_9,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD4102_9_original.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD4102_9_heatmap.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD4102_9_overlay.png,results/gradcam/iccad4/iccad4_TN_NHS_predNHS_sampleNHSCAD4102_9_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,NHSCAD498_1,NHS,HS,0.9321,0.9321,0.0679,False,FP,HS,conv2d_5,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD498_1_original.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD498_1_heatmap.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD498_1_overlay.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD498_1_comparison.png,28506.2422,0.5681,1.0,0.7138,0.1409,108.28,107.53,89.26,0.7223
iccad4,NHSCAD4176_4,NHS,HS,0.9264,0.9264,0.0736,False,FP,HS,conv2d_5,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD4176_4_original.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD4176_4_heatmap.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD4176_4_overlay.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD4176_4_comparison.png,28507.2148,0.5681,1.0,0.7014,0.1346,108.49,116.26,90.29,0.7928
iccad4,NHSCAD446_4,NHS,HS,0.8511,0.8511,0.1489,False,FP,HS,conv2d_5,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD446_4_original.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD446_4_heatmap.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD446_4_overlay.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD446_4_comparison.png,23637.2051,0.4711,1.0,0.8173,0.1881,118.57,116.08,81.04,0.4165
iccad4,NHSCAD496_4,NHS,HS,0.7323,0.7323,0.2677,False,FP,HS,conv2d_5,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD496_4_original.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD496_4_heatmap.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD496_4_overlay.png,results/gradcam/iccad4/iccad4_FP_NHS_predHS_sampleNHSCAD496_4_comparison.png,25298.5605,0.5042,1.0,0.8288,0.1762,119.81,106.43,82.97,0.428
iccad4,HSCAD488,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD488_original.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD488_heatmap.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD488_overlay.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD488_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,HSCAD4174,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4174_original.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4174_heatmap.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4174_overlay.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4174_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,HSCAD498,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD498_original.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD498_heatmap.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD498_overlay.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD498_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad4,HSCAD4172,HS,NHS,1.0,0.0,1.0,False,FN,NHS,conv2d_5,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4172_original.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4172_heatmap.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4172_overlay.png,results/gradcam/iccad4/iccad4_FN_HS_predNHS_sampleHSCAD4172_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad5,HSCAD59,HS,HS,0.9957,0.9957,0.0043,True,TP,HS,conv2d_5,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD59_original.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD59_heatmap.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD59_overlay.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD59_comparison.png,19358.7383,0.3858,1.0,0.6499,0.197,115.53,112.23,88.01,0.2722
iccad5,HSCAD528,HS,HS,0.9948,0.9948,0.0052,True,TP,HS,conv2d_5,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD528_original.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD528_heatmap.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD528_overlay.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD528_comparison.png,18037.4414,0.3595,1.0,0.5988,0.1941,123.44,115.92,82.86,0.235
iccad5,HSCAD50,HS,HS,0.9915,0.9915,0.0085,True,TP,HS,conv2d_5,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD50_original.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD50_heatmap.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD50_overlay.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD50_comparison.png,20263.9863,0.4039,1.0,0.6401,0.1841,114.23,106.72,87.37,0.2591
iccad5,HSCAD540,HS,HS,0.9922,0.9922,0.0078,True,TP,HS,conv2d_5,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD540_original.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD540_heatmap.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD540_overlay.png,results/gradcam/iccad5/iccad5_TP_HS_predHS_sampleHSCAD540_comparison.png,22824.9805,0.4549,1.0,0.6863,0.1762,108.46,110.26,88.67,0.3328
iccad5,NNHSCAD52136_8,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD52136_8_original.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD52136_8_heatmap.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD52136_8_overlay.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD52136_8_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad5,NHSCAD52118,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNHSCAD52118_original.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNHSCAD52118_heatmap.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNHSCAD52118_overlay.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNHSCAD52118_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad5,NNHSCAD5149_9,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5149_9_original.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5149_9_heatmap.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5149_9_overlay.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5149_9_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad5,NNHSCAD5420_9,NHS,NHS,1.0,0.0,1.0,True,TN,NHS,conv2d_5,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5420_9_original.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5420_9_heatmap.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5420_9_overlay.png,results/gradcam/iccad5/iccad5_TN_NHS_predNHS_sampleNNHSCAD5420_9_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
iccad5,NHSCAD57_8,NHS,HS,0.9952,0.9952,0.0048,False,FP,HS,conv2d_5,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD57_8_original.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD57_8_heatmap.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD57_8_overlay.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD57_8_comparison.png,24088.9082,0.4801,1.0,0.7405,0.1746,105.58,112.15,88.37,0.4056
iccad5,NHSCAD538_2,NHS,HS,0.9941,0.9941,0.0059,False,FP,HS,conv2d_5,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD538_2_original.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD538_2_heatmap.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD538_2_overlay.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD538_2_comparison.png,20795.6992,0.4145,1.0,0.6886,0.1922,114.95,109.46,89.78,0.321
iccad5,NHSCAD532_8,NHS,HS,0.9933,0.9933,0.0067,False,FP,HS,conv2d_5,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD532_8_original.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD532_8_heatmap.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD532_8_overlay.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD532_8_comparison.png,21572.125,0.4299,1.0,0.6649,0.1938,125.44,111.83,86.63,0.3446
iccad5,NHSCAD59_2,NHS,HS,0.9925,0.9925,0.0075,False,FP,HS,conv2d_5,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD59_2_original.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD59_2_heatmap.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD59_2_overlay.png,results/gradcam/iccad5/iccad5_FP_NHS_predHS_sampleNHSCAD59_2_comparison.png,22439.7441,0.4472,1.0,0.7438,0.1882,117.46,110.72,90.52,0.3724
iccad5,HSCAD516,HS,NHS,0.9999,0.0001,0.9999,False,FN,NHS,conv2d_5,results/gradcam/iccad5/iccad5_FN_HS_predNHS_sampleHSCAD516_original.png,results/gradcam/iccad5/iccad5_FN_HS_predNHS_sampleHSCAD516_heatmap.png,results/gradcam/iccad5/iccad5_FN_HS_predNHS_sampleHSCAD516_overlay.png,results/gradcam/iccad5/iccad5_FN_HS_predNHS_sampleHSCAD516_comparison.png,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0
